Designator,Mid X,Mid Y,Rotation,Layer
J3,156.15,-87.7,270.0,top
K1,194.406692,-113.555968,247.5,top
K2,172.155968,-136.006692,202.5,top
K3,140.555968,-136.093308,157.5,top
K4,118.1,-113.844032,112.5,top
K5,118.006692,-82.155968,67.5,top
K6,140.255968,-59.806692,22.5,top
K7,171.844032,-59.706692,337.5,top
K8,194.2,-82.0,292.5,top
U1,196.84,-97.89,90.0,bottom
